epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,399.354,1.11847,0.90305,1.29695,0.7852,0.71431,0.74186,0.42689,1.61599,1.28152,1.95619,0.000660045,0.000660045,0.000660045
43,407.783,1.13175,0.94036,1.32487,0.85368,0.6672,0.75842,0.44983,1.5787,1.26338,1.94593,0.000649046,0.000649046,0.000649046
44,416.88,1.12472,0.87145,1.28962,0.78486,0.71927,0.75994,0.44896,1.53185,1.23681,1.88489,0.000638047,0.000638047,0.000638047
45,424.525,1.07324,0.87962,1.2966,0.88575,0.66047,0.76989,0.46293,1.5205,1.24197,1.86249,0.000627048,0.000627048,0.000627048
46,433.591,1.0974,0.83951,1.27073,0.78714,0.6974,0.73451,0.43773,1.53824,1.29781,1.85187,0.000616049,0.000616049,0.000616049
47,442.337,1.10072,0.90505,1.32164,0.77581,0.67285,0.73714,0.43136,1.49825,1.25344,1.79675,0.000605051,0.000605051,0.000605051
48,450.358,1.10969,0.8882,1.29873,0.78784,0.70379,0.74923,0.44649,1.49156,1.23229,1.81493,0.000594052,0.000594052,0.000594052
49,460.22,1.06991,0.83488,1.2892,0.78948,0.70963,0.75606,0.44237,1.49729,1.25088,1.83188,0.000583053,0.000583053,0.000583053
50,467.871,1.09952,0.86751,1.30852,0.80255,0.66585,0.71616,0.42089,1.55824,1.33631,1.87001,0.000572054,0.000572054,0.000572054
51,477.23,1.07444,0.80219,1.26265,0.79849,0.69596,0.7489,0.43045,1.57563,1.26633,1.88519,0.000561055,0.000561055,0.000561055
52,486.467,1.0689,0.81118,1.27557,0.89288,0.64781,0.78308,0.46153,1.48741,1.14704,1.80082,0.000550056,0.000550056,0.000550056
53,494.38,1.01972,0.79748,1.26091,0.85874,0.67273,0.75919,0.45837,1.4528,1.1998,1.78061,0.000539057,0.000539057,0.000539057
